,tweet_tokens_WSW
126,"['mending', 'pindah']"
127,"['pakai', 'productname', 'terjangkau', 'pake', 'mahal']"
128,"['ditelpon', 'mumpung', 'gratisan']"
129,"['tumben', 'murah', 'hati', 'padaku', 'pelanggan', 'diginikan']"
130,"['canggih', 'nambah', 'nambah', 'kuotanya', 'productname', 'url']"
131,"['penuh', 'bonus']"
132,"['sinyal', 'hebat', 'puncak', 'halimun', 'on', 'mantap']"
133,"['nelpon', 'kouta', 'gb']"
134,['betah']
135,"['lumayan', 'murah', 'meriah']"
136,"['wow', 'hadiah', 'fantastis', 'productname', 'productname', 'simpel', 'url']"
137,"['modal', 'isi', 'pulsa', 'ribu', 'dapet', 'gb', 'gratis', 'tumben', 'semoga', 'promonya', 'murah', 'murah']"
138,"['ajaib', 'min', 'kartu', 'diisi', 'pulsa', 'terimakasih']"
139,"['mantap', 'deh', 'isi', 'pulsa', 'ribu', 'bonus', 'paket', 'data', 'gb', 'terimakasih', 'pelayanannya']"
140,"['terimakasih', 'paket', 'data', 'aktif', 'normal', 'terimakasih', 'puas', 'pelayanannya']"
141,"['perusahaan', 'melupakan', 'konsumen', 'menghapus', 'pesan', 'membacanya', 'menyalahkan', 'thanks']"
142,"['terima', 'kasih']"
143,"['horeprovidername', 'sinyalthanks']"
144,"['alhamdulillah', 'nunggu', 'subuh', 'lantunan', 'adhan', 'styles', 'mekah', 'madinah', 'paket', 'internet', 'bagus']"
145,"['lihat', 'youtube', 'setahun', 'kuota', 'keren']"
146,"['jaringan', 'super', 'cepat', 'smartphone', 'terkoneksi', 'pantau', 'aktivitas', 'sosial', 'media']"
147,"['medsos', 'sebijak', 'fasilitas', 'oke', 'kayak', 'fb', 'gratis', 'mb', 'free', 'youtubeyondergenflix']"
148,"['pagi', 'menyegarkan', 'mata', 'lari', 'nikmatin', 'internet', 'nelpon', 'super', 'murah', 'suara', 'jernih', 'pake', 'gitu']"
149,"['buka', 'puasa', 'streaming', 'youtube', 'lancar', 'banget', 'pake', 'setia']"
150,"['jaringan', 'luas', 'temanku', 'nelpon', 'operator', 'gratis', 'suaranya', 'jernih', 'banget']"
151,"['koneksi', 'internet', 'lancar', 'membantu', 'menyelesaikan', 'pekerjaaan', 'jumat', 'weekend']"
152,"['ayo', 'penuhi', 'viralkan', 'keras', 'nomor', 'sy', 'nomer', 'cantik', 'dr', 'th', 'lgsg', 'sy', 'buangjgn', 'main', 'umat', 'islam', 'brsatu']"
153,"['ayo', 'buang', 'kartu', 'url']"
154,"['pake', 'insya', 'allah', 'paket', 'kuotanya', 'habis', 'ganti', 'operator']"
155,"['ceo', 'bertanggung', 'counter', 'perdana', 'hp', 'berhenti', 'jual', 'perdana']"
156,"['pelajaran', 'pakai', 'produk']"
157,"['boikot', 'nyedot', 'pulsa', 'dipake', 'sms', 'bayar', 'bonus', 'maksa']"
158,"['lumayan', 'jaringan', 'glte', 'area', 'tarogong', 'memuaskan', 'url']"
159,"['uji', 'kecepatan', 'productname', 'ku', 'jelek']"
160,"['tolong', 'urus', 'bayar', 'data', 'dapet', 'datanya']"
161,"['nonton', 'gratis', 'dibayarin', 'poin', 'providernamepoin']"
162,"['makasih', 'gratis', 'gnya', 'ayo', 'buruan', 'upgrade', 'productname', 'mu']"
163,"['makan', 'malam', 'gratis', 'hasil', 'tuker', 'poin', 'url']"
164,"['mohon', 'up', 'jaringan', 'wilayah', 'morowali', 'buruk']"
165,"['jaringan', 'waru', 'arae', 'site', 'wkp', 'telpon', 'mohon', 'cek', 'team']"
166,"['kualitas', 'pelayanannya', 'buruk', 'pelaporan', 'tindakan', 'perbaikan']"
167,"['tolong', 'jaringan', 'muara', 'kaman', 'diperbaiki', 'bbm', 'ngaksesmenyambungkan', 'melulu', 'minggu']"
168,"['uji', 'kecepatan', 'nyata', 'jelek']"
169,"['tolong', 'diurus', 'bayar', 'data', 'datanya']"
170,"['lumayan', 'jaringan', 'glte', 'area', 'tarogong', 'memuaskan', 'url']"
171,"['terimakasih', 'gratis', 'gnya', 'ayo', 'buruan', 'upgrade', 'productname']"
172,"['makan', 'malam', 'gratis', 'hasil', 'tukar', 'poin', 'url']"
173,"['ayo', 'viralkan', 'keras', 'nomor', 'nomer', 'cantik', 'buang', 'main', 'umat', 'islam', 'brsatu']"
174,"['ayo', 'buang', 'kartu']"
175,"['pakai', 'insya', 'allah', 'paket', 'kuotanya', 'habis', 'ganti', 'operator']"
176,"['boikot', 'menyedot', 'pulsa', 'dipake', 'sms', 'bayar', 'bonus', 'maksa']"
177,"['buka', 'puasa', 'streaming', 'youtube', 'lancar', 'banget', 'pakai', 'setia']"
178,"['koneksi', 'internet', 'lancar', 'membantu', 'menyelesaikan', 'pekerjaaan', 'jumat', 'weekend']"
179,"['sinyalnya', 'php']"
180,"['koneksi', 'internet', 'menjengkelkan']"
181,"['nelpon', 'murah', 'pake', 'js', 'rpdetik', 'productname', 'productname']"
182,"['terima', 'kasih', 'pt', 'kiriman', 'gratis', 'homenya']"
183,"['kualitas', 'sinyal', 'melengkapi', 'meriahnya', 'festival']"
184,"['pindah', 'terbukti']"
185,"['sinyal', 'palsu', 'edge']"
186,"['pelanggan', 'area', 'dirugikan', 'jaringan', 'telponnya', 'rusak', 'diperbaiki']"
187,"['hatihati', 'tukang', 'tipu']"
188,"['sedih', 'pakai', 'stabil']"
189,"['jarigan', 'lelet', 'gangguan', 'rusak']"
190,"['daerah', 'jagakarsa', 'pakai', 'sinyalnya', 'jelek', 'sinyal']"
191,['cacat']
192,['url']
193,"['bagiberkah', 'susah', 'sentuh', 'mudah', 'berfaedah']"
194,"['tumbang', 'kota', 'semarang']"
195,"['kuotaku', 'internetan', 'providernamecare']"
196,['lemot']
197,"['berbagiberkah', 'berbagi', 'menyenangkan', 'orang', 'sayangi']"
198,"['santai', 'pakai', 'providernameg', 'providernamebagiberkah', 'diandalkan']"
199,"['setia', 'memggunakan']"
200,"['pengen', 'selangkah', 'maju', 'layanan', 'jaringan']"
201,"['yuk', 'pakai', 'rp', 'gratis', 'gb']"
202,"['lebaran', 'pakai', 'yaa', 'gratis', 'gb']"
203,"['sinyal', 'dipalembang', 'lancar']"
204,"['keren', 'rembang', 'sinyal']"
205,"['sinyal', 'kuat', 'banget']"
206,['banget']
207,"['berkat', 'mudiknya', 'nyamanmampir', 'posko', 'senang']"
208,['terimakasih']
209,"['untungnya', 'pakai']"
210,"['alhamdulillah', 'terbaik']"
211,"['murah', 'bonusnya']"
212,"['kuota', 'habis', 'ganti', 'provider']"
213,"['jancok', 'sinyal', 'payah']"
214,['pakai']
215,"['permintaan', 'maaf', 'pernyataan', 'apapun', 'boikot', 'url']"
216,"['kuota', 'malam', 'habis', 'duluan', 'logikanya', 'dimana', 'url']"
217,"['jaringan', 'penuh', 'konek', 'internet']"
218,"['sinyal', 'stabil', 'mantap', 'url']"
219,"['fungsinya', 'data', 'lokal', 'flash', 'terpakai', 'duluan', 'data', 'lokalnya', 'mahal']"
220,"['hore', 'makan', 'malam', 'gratis', 'poin', 'url']"
221,"['wajar', 'dihack', 'harga', 'mahal', 'banget', 'koneksi', 'lambat', 'providernamemahal']"
222,"['ganti', 'paket', 'gb', 'langsung', 'lancar']"
223,[]
224,"['alhamdulillah', 'gratisan', 'youtube', 'ramadhan', 'berfaedah']"
225,"['sinyal', 'hilang', 'mulu']"
226,"['data', 'manfaatnya', 'url']"
227,"['goblok', 'banget']"
228,"['udah', 'settingan', 'kuota', 'dipakai', 'menguras', 'pulsa', 'yaa']"
229,"['mahal', 'sinyalnya', 'jelek', 'bangsat', 'anjing']"
230,"['jeleknya', 'jaringan', 'internetprovidername']"
231,"['area', 'pandeglang', 'kota', 'jaringan', 'buruk', 'jelek', 'kejadian', 'sebulan', 'providernamecare', 'providernamepayah', 'dihack']"
232,"['kacau', 'isi', 'kuota', 'datanya', 'langsung', 'habis']"
233,['ayo']
234,"['mending', 'ngopi', 'nyantai', 'dengar', 'musik', 'klasik', 'youtube', 'gratis', 'jaringan', 'keren']"
235,"['fitur', 'kartu', 'perdana', 'udah', 'providernameyoutubetahun', 'providernamejabo']"
236,"['minggu', 'masuk', 'kerja', 'dikerjain', 'ujungnya', 'mencari', 'lapak', 'rebahan', 'denger', 'musik', 'youtube', 'top', 'deh']"
237,"['enak', 'belanja', 'online', 'sinyal', 'kuat', 'kencang', 'pakai']"
238,"['mantap', 'paket', 'productname', 'mupeng', 'productnamenya']"
239,"['bonus', 'thr', 'bonus', 'hati', 'senang']"
240,"['pagi', 'sahur', 'purwakarta', 'sinyal', 'bagus', 'banget']"
241,"['astaga', 'udah', 'sore', 'keasyikan', 'main', 'hape', 'sinyal', 'lancar', 'hebat', 'emang']"
242,"['kadang', 'cari', 'referensi', 'youtube', 'gudang', 'informasi', 'keren', 'youtube', 'an', 'kuota', 'streaming', 'lancar']"
243,"['belajar', 'mengedit', 'video', 'youtube', 'enak', 'cepat', 'paham', 'jaringan', 'lancar', 'kencang']"
244,"['tethering', 'pakai', 'kartu', 'sinyalnya', 'kencang', 'badai', 'browsing', 'mencari', 'bahan', 'artikel', 'dijamin', 'lancar']"
245,"['pakai', 'produk', 'boikot']"
246,"['ayo', 'pakai', 'kartu', 'buang', 'got']"
247,"['providernamesaatnya', 'hijrah', 'selamat', 'tinggal']"
248,"['alhamdulillah', 'kuota', 'murah']"
249,"['tarifnya', 'mahal', 'ditambah', 'jaringan', 'susah', 'mengesalkan', 'banget']"
250,"['pulsanya', 'tm', 'nelpon', 'simpati', 'pulsa', 'kampret']"
251,"['tibatiba', 'sinyal', 'rumahku', 'lancar']"
252,"['berharap', 'bagus', 'kerja', 'onlineternyata', 'internetnya', 'sesimpati', 'namanya', 'url']"
253,"['jaringan', 'internet', 'sumba', 'timur', 'parah']"
254,"['kualitas', 'jaringan', 'menurun', 'wilayah', 'sukabumi']"
255,"['mengeluh', 'sinyal', 'pelayanan', 'jaringan', 'internet']"
256,"['malam', 'jaringan', 'super', 'lelet', 'berkualitas']"
257,"['sinyal', 'menyedihkan']"
258,"['bangsat', 'dibiarin']"
259,"['bangsat', 'gemas', 'duh']"
260,"['signal', 'mentari', 'memprihatinkan', 'memikirkan', 'ganti', 'kartu', 'kecewa']"
261,"['gangguan', 'daerah', 'kramat', 'jati', 'sumpah', 'lelet', 'banget']"
262,"['super', 'lelet', 'tp', 'kecepatan', 'kbs', 'gangguan', 'gimana']"
263,['tai']
264,"['allah', 'hujan', 'sinyal', 'kaya', 'lagunya', 'kotak', 'pelan', 'pelan']"
265,['kelar']
266,"['hooq', 'bermanfaat', 'beli', 'kuota', 'menonton', 'youtube', 'hooq', 'productname']"
267,"['daerahku', 'udah', 'trouble', 'mulu']"
268,"['sisa', 'kuota', 'dibilang', 'habis', 'gimana']"
269,"['jaringan', 'simpati', 'anjir', 'banget']"
270,['tai']
271,"['untung', 'pakai', 'rumah', 'alhamdulillah', 'urusan', 'beres']"
272,"['jaringan', 'flash', 'daerah', 'aceh', 'singkil', 'stabil']"
273,"['tarif', 'mahal', 'sinyal', 'parah']"
274,"['seminggu', 'digangguin', 'bunyi', 'sms', 'promo', 'url']"
275,"['oh', 'jariangan']"
276,"['jam', 'malam', 'hancur', 'koneksinya']"
277,"['sedih', 'beli', 'paket', 'internet']"
278,"['hobi', 'ngecek', 'productname', 'kali', 'promo', 'kuota', 'internet', 'penguna', 'setia', 'alhamdulillah', 'rejeki', 'anak']"
279,"['dihack', 'mahal']"
280,"['jaringan', 'lelet']"
281,['gangguan']
282,"['hancur', 'jaringannya']"
283,"['isi', 'pulsa', 'dipakai', 'hilang', 'mohon', 'pejelasannya']"
284,['sebal']
285,"['lte', 'bermasalah']"
286,"['parah', 'buang', 'kuota', 'payah']"
287,"['koneksinya', 'lancar', 'pakai']"
288,"['pakai', 'sinyal', 'lancar', 'yess']"
289,"['datadata', 'kerja', 'cepat', 'dicari', 'internetnya', 'pakai']"
290,"['juara', 'nonton', 'youtube', 'kuota', 'full', 'xd']"
291,"['kenikmatan', 'didapatkan', 'pengguna', 'menonton', 'youtube', 'gratis', 'setahun']"
292,"['upload', 'file', 'mudah', 'jaringan', 'internetnya', 'cepat', 'alhamdulillah']"
293,"['untungnya', 'pake', 'pekerjaan', 'gua', 'lancar']"
294,"['siang', 'nyoba', 'bonus', 'telpon', 'pakai', 'kartu', 'aman', 'lancar', 'jaya', 'suaranya', 'cuaca', 'hujan']"
295,"['pantesan', 'lancar', 'sinyal', 'lancar', 'lombok', 'timur']"
296,"['alhamdulillah', 'lancar', 'pakai']"
297,"['untung', 'pakai', 'internet', 'lancar', 'ide']"
298,"['ramai', 'lokasi', 'wisata', 'jaya']"
299,"['sinyal', 'amsyong', 'stadion', 'gajayana']"
